wavelength,transmittance
3834.25,97.54
3834,97.54
3833.75,97.54
3833.5,97.54
3833.25,97.55
3833,97.56
3832.75,97.57
3832.5,97.57
3832.25,97.57
3832,97.57
3831.75,97.57
3831.5,97.57
3831.25,97.58
3831,97.58
3830.75,97.59
3830.5,97.6
3830.25,97.61
3830,97.62
3829.75,97.62
3829.5,97.62
3829.25,97.61
3829,97.61
3828.75,97.61
3828.5,97.61
3828.25,97.62
3828,97.62
3827.75,97.62
3827.5,97.62
3827.25,97.61
3827,97.61
3826.75,97.61
3826.5,97.61
3826.25,97.61
3826,97.61
3825.75,97.61
3825.5,97.62
3825.25,97.62
3825,97.63
3824.75,97.62
3824.5,97.61
3824.25,97.6
3824,97.59
3823.75,97.58
3823.5,97.57
3823.25,97.56
3823,97.54
3822.75,97.53
3822.5,97.52
3822.25,97.51
3822,97.51
3821.75,97.51
3821.5,97.5
3821.25,97.49
3821,97.49
3820.75,97.49
3820.5,97.5
3820.25,97.51
3820,97.52
3819.75,97.53
3819.5,97.53
3819.25,97.54
3819,97.54
3818.75,97.55
3818.5,97.55
3818.25,97.55
3818,97.56
3817.75,97.55
3817.5,97.55
3817.25,97.54
3817,97.54
3816.75,97.55
3816.5,97.56
3816.25,97.56
3816,97.57
3815.75,97.58
3815.5,97.58
3815.25,97.58
3815,97.58
3814.75,97.59
3814.5,97.6
3814.25,97.61
3814,97.62
3813.75,97.63
3813.5,97.63
3813.25,97.64
3813,97.65
3812.75,97.65
3812.5,97.65
3812.25,97.65
3812,97.65
3811.75,97.65
3811.5,97.66
3811.25,97.66
3811,97.67
3810.75,97.67
3810.5,97.66
3810.25,97.66
3810,97.65
3809.75,97.65
3809.5,97.64
3809.25,97.64
3809,97.64
3808.75,97.64
3808.5,97.63
3808.25,97.62
3808,97.62
3807.75,97.61
3807.5,97.61
3807.25,97.61
3807,97.61
3806.75,97.61
3806.5,97.6
3806.25,97.6
3806,97.6
3805.75,97.61
3805.5,97.61
3805.25,97.61
3805,97.6
3804.75,97.6
3804.5,97.59
3804.25,97.59
3804,97.58
3803.75,97.57
3803.5,97.56
3803.25,97.55
3803,97.54
3802.75,97.54
3802.5,97.54
3802.25,97.54
3802,97.54
3801.75,97.55
3801.5,97.55
3801.25,97.56
3801,97.56
3800.75,97.57
3800.5,97.58
3800.25,97.59
3800,97.6
3799.75,97.6
3799.5,97.6
3799.25,97.61
3799,97.61
3798.75,97.61
3798.5,97.61
3798.25,97.62
3798,97.62
3797.75,97.62
3797.5,97.62
3797.25,97.62
3797,97.62
3796.75,97.62
3796.5,97.62
3796.25,97.62
3796,97.63
3795.75,97.64
3795.5,97.64
3795.25,97.65
3795,97.67
3794.75,97.68
3794.5,97.69
3794.25,97.69
3794,97.69
3793.75,97.69
3793.5,97.7
3793.25,97.7
3793,97.71
3792.75,97.71
3792.5,97.7
3792.25,97.7
3792,97.7
3791.75,97.7
3791.5,97.7
3791.25,97.71
3791,97.71
3790.75,97.71
3790.5,97.71
3790.25,97.71
3790,97.7
3789.75,97.7
3789.5,97.7
3789.25,97.71
3789,97.71
3788.75,97.72
3788.5,97.72
3788.25,97.72
3788,97.72
3787.75,97.71
3787.5,97.71
3787.25,97.7
3787,97.7
3786.75,97.69
3786.5,97.69
3786.25,97.69
3786,97.69
3785.75,97.69
3785.5,97.69
3785.25,97.69
3785,97.68
3784.75,97.68
3784.5,97.68
3784.25,97.68
3784,97.68
3783.75,97.69
3783.5,97.69
3783.25,97.7
3783,97.7
3782.75,97.7
3782.5,97.7
3782.25,97.69
3782,97.68
3781.75,97.68
3781.5,97.67
3781.25,97.67
3781,97.67
3780.75,97.66
3780.5,97.66
3780.25,97.65
3780,97.65
3779.75,97.65
3779.5,97.64
3779.25,97.64
3779,97.65
3778.75,97.65
3778.5,97.67
3778.25,97.68
3778,97.68
3777.75,97.68
3777.5,97.68
3777.25,97.69
3777,97.7
3776.75,97.7
3776.5,97.71
3776.25,97.72
3776,97.72
3775.75,97.72
3775.5,97.73
3775.25,97.73
3775,97.73
3774.75,97.72
3774.5,97.72
3774.25,97.73
3774,97.73
3773.75,97.73
3773.5,97.73
3773.25,97.73
3773,97.72
3772.75,97.71
3772.5,97.7
3772.25,97.7
3772,97.69
3771.75,97.69
3771.5,97.68
3771.25,97.68
3771,97.68
3770.75,97.67
3770.5,97.67
3770.25,97.66
3770,97.66
3769.75,97.66
3769.5,97.66
3769.25,97.66
3769,97.67
3768.75,97.67
3768.5,97.67
3768.25,97.67
3768,97.66
3767.75,97.66
3767.5,97.67
3767.25,97.67
3767,97.67
3766.75,97.67
3766.5,97.67
3766.25,97.67
3766,97.67
3765.75,97.67
3765.5,97.68
3765.25,97.68
3765,97.68
3764.75,97.69
3764.5,97.69
3764.25,97.69
3764,97.7
3763.75,97.7
3763.5,97.7
3763.25,97.71
3763,97.71
3762.75,97.71
3762.5,97.7
3762.25,97.69
3762,97.68
3761.75,97.67
3761.5,97.66
3761.25,97.66
3761,97.66
3760.75,97.66
3760.5,97.66
3760.25,97.66
3760,97.66
3759.75,97.65
3759.5,97.64
3759.25,97.64
3759,97.63
3758.75,97.64
3758.5,97.65
3758.25,97.66
3758,97.66
3757.75,97.67
3757.5,97.67
3757.25,97.67
3757,97.67
3756.75,97.67
3756.5,97.67
3756.25,97.67
3756,97.67
3755.75,97.67
3755.5,97.66
3755.25,97.66
3755,97.65
3754.75,97.64
3754.5,97.63
3754.25,97.62
3754,97.62
3753.75,97.61
3753.5,97.6
3753.25,97.59
3753,97.58
3752.75,97.57
3752.5,97.56
3752.25,97.55
3752,97.54
3751.75,97.53
3751.5,97.52
3751.25,97.51
3751,97.51
3750.75,97.51
3750.5,97.51
3750.25,97.51
3750,97.52
3749.75,97.53
3749.5,97.54
3749.25,97.55
3749,97.56
3748.75,97.55
3748.5,97.55
3748.25,97.54
3748,97.54
3747.75,97.54
3747.5,97.54
3747.25,97.53
3747,97.53
3746.75,97.53
3746.5,97.52
3746.25,97.52
3746,97.51
3745.75,97.51
3745.5,97.5
3745.25,97.5
3745,97.5
3744.75,97.5
3744.5,97.5
3744.25,97.51
3744,97.51
3743.75,97.52
3743.5,97.53
3743.25,97.54
3743,97.55
3742.75,97.56
3742.5,97.58
3742.25,97.59
3742,97.61
3741.75,97.62
3741.5,97.63
3741.25,97.64
3741,97.64
3740.75,97.64
3740.5,97.64
3740.25,97.64
3740,97.64
3739.75,97.64
3739.5,97.63
3739.25,97.63
3739,97.62
3738.75,97.62
3738.5,97.62
3738.25,97.61
3738,97.61
3737.75,97.6
3737.5,97.58
3737.25,97.57
3737,97.57
3736.75,97.56
3736.5,97.56
3736.25,97.55
3736,97.55
3735.75,97.55
3735.5,97.55
3735.25,97.55
3735,97.55
3734.75,97.54
3734.5,97.53
3734.25,97.53
3734,97.54
3733.75,97.55
3733.5,97.56
3733.25,97.57
3733,97.58
3732.75,97.59
3732.5,97.6
3732.25,97.61
3732,97.61
3731.75,97.62
3731.5,97.63
3731.25,97.63
3731,97.64
3730.75,97.65
3730.5,97.66
3730.25,97.67
3730,97.68
3729.75,97.69
3729.5,97.7
3729.25,97.7
3729,97.7
3728.75,97.69
3728.5,97.69
3728.25,97.68
3728,97.68
3727.75,97.69
3727.5,97.69
3727.25,97.69
3727,97.69
3726.75,97.69
3726.5,97.69
3726.25,97.69
3726,97.69
3725.75,97.69
3725.5,97.69
3725.25,97.69
3725,97.7
3724.75,97.7
3724.5,97.69
3724.25,97.69
3724,97.68
3723.75,97.69
3723.5,97.69
3723.25,97.69
3723,97.69
3722.75,97.69
3722.5,97.69
3722.25,97.7
3722,97.71
3721.75,97.72
3721.5,97.71
3721.25,97.71
3721,97.71
3720.75,97.71
3720.5,97.72
3720.25,97.72
3720,97.73
3719.75,97.74
3719.5,97.74
3719.25,97.75
3719,97.75
3718.75,97.74
3718.5,97.73
3718.25,97.72
3718,97.73
3717.75,97.74
3717.5,97.75
3717.25,97.76
3717,97.75
3716.75,97.75
3716.5,97.74
3716.25,97.74
3716,97.74
3715.75,97.75
3715.5,97.74
3715.25,97.74
3715,97.73
3714.75,97.72
3714.5,97.71
3714.25,97.7
3714,97.69
3713.75,97.68
3713.5,97.68
3713.25,97.67
3713,97.67
3712.75,97.66
3712.5,97.65
3712.25,97.64
3712,97.63
3711.75,97.63
3711.5,97.62
3711.25,97.63
3711,97.64
3710.75,97.65
3710.5,97.65
3710.25,97.64
3710,97.64
3709.75,97.65
3709.5,97.67
3709.25,97.69
3709,97.7
3708.75,97.7
3708.5,97.7
3708.25,97.69
3708,97.7
3707.75,97.7
3707.5,97.72
3707.25,97.74
3707,97.75
3706.75,97.75
3706.5,97.75
3706.25,97.75
3706,97.75
3705.75,97.76
3705.5,97.77
3705.25,97.77
3705,97.77
3704.75,97.76
3704.5,97.75
3704.25,97.75
3704,97.75
3703.75,97.75
3703.5,97.75
3703.25,97.74
3703,97.73
3702.75,97.72
3702.5,97.73
3702.25,97.73
3702,97.73
3701.75,97.73
3701.5,97.73
3701.25,97.73
3701,97.73
3700.75,97.74
3700.5,97.75
3700.25,97.76
3700,97.76
3699.75,97.77
3699.5,97.77
3699.25,97.77
3699,97.78
3698.75,97.79
3698.5,97.79
3698.25,97.78
3698,97.77
3697.75,97.77
3697.5,97.76
3697.25,97.77
3697,97.77
3696.75,97.78
3696.5,97.78
3696.25,97.78
3696,97.77
3695.75,97.77
3695.5,97.77
3695.25,97.78
3695,97.79
3694.75,97.79
3694.5,97.78
3694.25,97.77
3694,97.76
3693.75,97.75
3693.5,97.75
3693.25,97.75
3693,97.74
3692.75,97.73
3692.5,97.72
3692.25,97.7
3692,97.68
3691.75,97.68
3691.5,97.67
3691.25,97.66
3691,97.65
3690.75,97.63
3690.5,97.62
3690.25,97.62
3690,97.62
3689.75,97.63
3689.5,97.63
3689.25,97.63
3689,97.63
3688.75,97.64
3688.5,97.65
3688.25,97.66
3688,97.66
3687.75,97.66
3687.5,97.66
3687.25,97.67
3687,97.68
3686.75,97.69
3686.5,97.7
3686.25,97.7
3686,97.71
3685.75,97.72
3685.5,97.73
3685.25,97.73
3685,97.73
3684.75,97.73
3684.5,97.73
3684.25,97.73
3684,97.73
3683.75,97.74
3683.5,97.75
3683.25,97.75
3683,97.74
3682.75,97.74
3682.5,97.73
3682.25,97.73
3682,97.74
3681.75,97.74
3681.5,97.74
3681.25,97.74
3681,97.73
3680.75,97.72
3680.5,97.72
3680.25,97.71
3680,97.71
3679.75,97.71
3679.5,97.7
3679.25,97.7
3679,97.69
3678.75,97.68
3678.5,97.66
3678.25,97.65
3678,97.64
3677.75,97.62
3677.5,97.61
3677.25,97.59
3677,97.58
3676.75,97.56
